date,month,year,season,state,district,latitude,longitude,rainfall_mm,temperature_celsius,groundwater_extraction_volume,groundwater_level_mbgl
2018-01-01,1,2018,Winter,Karnataka,District_1,29.01,80.98,48.25794563754505,32.19011298710838,2499.1309368344755,9.985700906529248
2018-02-01,2,2018,Winter,Karnataka,District_1,29.01,80.98,37.822907056346786,29.46402762419437,1854.1348142740628,9.792243886979142
2018-03-01,3,2018,Summer,Karnataka,District_1,29.01,80.98,107.78945382778394,27.83029200494974,1780.1923396088466,9.807309791327471
2018-04-01,4,2018,Summer,Karnataka,District_1,29.01,80.98,42.65169258107588,29.32141308840884,1761.9484946982168,9.805738297342225
2018-05-01,5,2018,Summer,Karnataka,District_1,29.01,80.98,48.9465003273991,30.78600927548539,1965.3579770228803,9.672730890790747
2018-06-01,6,2018,Monsoon,Karnataka,District_1,29.01,80.98,84.95125730927542,28.40322461092611,1938.6150483567235,9.670202128233635
2018-07-01,7,2018,Monsoon,Karnataka,District_1,29.01,80.98,68.1318524622679,41.224033030052816,1763.7194268923386,9.804518949463313
2018-08-01,8,2018,Monsoon,Karnataka,District_1,29.01,80.98,117.70873236435838,24.082134160277313,2068.6911296691314,9.73106418446856
2018-09-01,9,2018,Monsoon,Karnataka,District_1,29.01,80.98,49.8184112046541,25.92364531739038,2209.727714557997,9.635074721257169
2018-10-01,10,2018,Post-Monsoon,Karnataka,District_1,29.01,80.98,77.99689901133017,27.59375933088247,1371.861798789481,9.745567543102185
2018-11-01,11,2018,Post-Monsoon,Karnataka,District_1,29.01,80.98,47.398576061174516,30.69602055478408,2000.5440833584028,9.808991572728614
2018-12-01,12,2018,Post-Monsoon,Karnataka,District_1,29.01,80.98,82.67805845374957,39.667713147149954,2124.162451175242,10.11510109416644
2019-01-01,1,2019,Winter,Karnataka,District_1,29.01,80.98,77.03305103272874,30.740908656895748,2351.730734717673,9.983244078090628
2019-02-01,2,2019,Winter,Karnataka,District_1,29.01,80.98,75.94200032880988,33.74552838482162,2542.6870487060487,10.055282802294448
2019-03-01,3,2019,Summer,Karnataka,District_1,29.01,80.98,66.80952903658049,28.645188689161305,2133.8868044005753,10.086871893009679
2019-04-01,4,2019,Summer,Karnataka,District_1,29.01,80.98,94.0872695135779,32.50713378513041,2318.191573646423,10.092800021414998
2019-05-01,5,2019,Summer,Karnataka,District_1,29.01,80.98,39.930755180499446,25.659578872977562,1836.4887153958725,10.183851243264465
2019-06-01,6,2019,Monsoon,Karnataka,District_1,29.01,80.98,21.978530954629946,30.551497893167106,1870.9923842450253,10.180878707495726
2019-07-01,7,2019,Monsoon,Karnataka,District_1,29.01,80.98,96.90634060933135,23.543878189012652,2466.4768029909806,9.987241086497267
2019-08-01,8,2019,Monsoon,Karnataka,District_1,29.01,80.98,30.56398994287352,23.80884574425825,1752.6046017046783,9.902505333686001
2019-09-01,9,2019,Monsoon,Karnataka,District_1,29.01,80.98,118.53840257207263,29.799574313134983,2158.8306534961407,10.038948678418034
2019-10-01,10,2019,Post-Monsoon,Karnataka,District_1,29.01,80.98,54.48324786815939,29.549606834098967,1848.2359840297117,10.156151568798474
2019-11-01,11,2019,Post-Monsoon,Karnataka,District_1,29.01,80.98,61.52231876565799,32.47299945940857,2503.4916529468687,10.118839649833438
2019-12-01,12,2019,Post-Monsoon,Karnataka,District_1,29.01,80.98,3.7659337542146503,38.054101546962514,2158.388128107942,10.169199356247919
2020-01-01,1,2020,Winter,Karnataka,District_1,29.01,80.98,48.96711652040919,27.261382585203357,2313.102693610625,10.447593160896902
2020-02-01,2,2020,Winter,Karnataka,District_1,29.01,80.98,66.86935614565621,22.32967440650536,2108.920881001193,10.444474481080219
2020-03-01,3,2020,Summer,Karnataka,District_1,29.01,80.98,94.3311460642405,34.28932329394233,1811.9426391385537,10.443316149102019
2020-04-01,4,2020,Summer,Karnataka,District_1,29.01,80.98,19.739780878399316,28.370134295092555,2976.195537826282,10.46237601961347
2020-05-01,5,2020,Summer,Karnataka,District_1,29.01,80.98,13.650031542090076,25.78632451756539,2117.6125669197786,10.523073590570334
2020-06-01,6,2020,Monsoon,Karnataka,District_1,29.01,80.98,56.264242572189474,28.99897552134465,2607.4162994003023,10.48818347229306
2020-07-01,7,2020,Monsoon,Karnataka,District_1,29.01,80.98,34.4022017388607,29.928597261474525,2060.5722325408387,10.548796408602968
2020-08-01,8,2020,Monsoon,Karnataka,District_1,29.01,80.98,35.85789944773512,22.796736305965915,2080.7952962757618,10.354373449228007
2020-09-01,9,2020,Monsoon,Karnataka,District_1,29.01,80.98,114.40999727636722,32.022914475587626,2027.0217760944984,10.388013325606632
2020-10-01,10,2020,Post-Monsoon,Karnataka,District_1,29.01,80.98,62.48191307401437,28.70791132091282,2355.0446960423005,10.39307630669815
2020-11-01,11,2020,Post-Monsoon,Karnataka,District_1,29.01,80.98,44.8367317862441,23.216072577907187,1525.5038223156364,10.371330609007748
2020-12-01,12,2020,Post-Monsoon,Karnataka,District_1,29.01,80.98,62.37027042732169,35.303462315901506,2071.245575486582,10.323804874167699
2021-01-01,1,2021,Winter,Karnataka,District_1,29.01,80.98,50.47893644188071,32.292206482809895,2055.863703168388,10.262867536579257
2021-02-01,2,2021,Winter,Karnataka,District_1,29.01,80.98,84.78571420962798,36.632519437183866,1713.6829614281014,10.181515426883255
2021-03-01,3,2021,Summer,Karnataka,District_1,29.01,80.98,-10.187896909301955,28.24231600689775,1694.1975598279787,9.949708602064472
2021-04-01,4,2021,Summer,Karnataka,District_1,29.01,80.98,84.95874559723534,26.378331023264504,1437.2664084308171,9.922906766880185
2021-05-01,5,2021,Summer,Karnataka,District_1,29.01,80.98,42.77395653576963,22.54012837270575,2477.0473157032548,10.032539745834294
2021-06-01,6,2021,Monsoon,Karnataka,District_1,29.01,80.98,74.14925863344207,33.23779054506857,2160.8079604714576,9.99899864342721
2021-07-01,7,2021,Monsoon,Karnataka,District_1,29.01,80.98,85.20513477835277,35.66671012534537,1838.0763922026217,10.062509898517408
2021-08-01,8,2021,Monsoon,Karnataka,District_1,29.01,80.98,17.401151010249286,25.765331313761685,1986.4251128782041,9.95448981151336
2021-09-01,9,2021,Monsoon,Karnataka,District_1,29.01,80.98,-16.930259443820816,35.71362941646916,1430.9758339451232,9.823920056109252
2021-10-01,10,2021,Post-Monsoon,Karnataka,District_1,29.01,80.98,77.97279977487423,29.15964605397235,2085.552597394896,9.748843871802483
2021-11-01,11,2021,Post-Monsoon,Karnataka,District_1,29.01,80.98,45.84240776129577,31.086032389465323,1858.4367427646393,9.646293884830468
2021-12-01,12,2021,Post-Monsoon,Karnataka,District_1,29.01,80.98,43.31456562594035,25.51381834319347,2457.7489871752496,9.527989923696962
2022-01-01,1,2022,Winter,Karnataka,District_1,29.01,80.98,71.00728251290923,31.047484313161792,1737.3314635904117,9.572967327545836
2022-02-01,2,2022,Winter,Karnataka,District_1,29.01,80.98,52.95454999232077,25.063853961635374,1852.6509413751628,9.750859761934432
2022-03-01,3,2022,Summer,Karnataka,District_1,29.01,80.98,23.726328313170427,37.94572066101276,1772.9281728465212,9.684165424438781
2022-04-01,4,2022,Summer,Karnataka,District_1,29.01,80.98,33.74763531395647,23.37194862248706,1768.6383615254858,9.51498359881375
2022-05-01,5,2022,Summer,Karnataka,District_1,29.01,80.98,45.15319717304157,29.75260223608401,1806.4033372407541,9.580663331930149
2022-06-01,6,2022,Monsoon,Karnataka,District_1,29.01,80.98,11.981669729170989,22.42712578091881,2203.8979007490257,9.437073249992745
2022-07-01,7,2022,Monsoon,Karnataka,District_1,29.01,80.98,56.316337525274555,33.244466206267745,2234.0825493260004,9.318746687847304
2022-08-01,8,2022,Monsoon,Karnataka,District_1,29.01,80.98,64.53239886458185,23.841346162450872,2056.8754760481766,9.368246253266474
2022-09-01,9,2022,Monsoon,Karnataka,District_1,29.01,80.98,101.987899435582,27.76285987870931,2102.1845753865077,9.351715291811116
2022-10-01,10,2022,Post-Monsoon,Karnataka,District_1,29.01,80.98,59.58666134198425,36.86188898273623,1796.6641721019846,9.282997774277865
2022-11-01,11,2022,Post-Monsoon,Karnataka,District_1,29.01,80.98,94.60595616023605,28.124946858150928,1791.7562139477518,9.289832899388248
2022-12-01,12,2022,Post-Monsoon,Karnataka,District_1,29.01,80.98,63.29580219129746,31.712284590037573,2573.4588819528285,9.248892016331093
